sku,name,category,brand,price
HOME-0001,Комплект органайзеров для шкафа,Товары для дома,Домовит,129000
HOME-0002,Сушилка для белья напольная,Товары для дома,Домовит,249900
HOME-0003,Настольная лампа «Тихий вечер»,Товары для дома,Ладный дом,188990
HOME-0004,Набор вешалок 12 штук,Товары для дома,Домовит,79000
TEXT-0001,Комплект постельного белья полутораспальный,Текстиль,Сатин,348990
TEXT-0002,Плед-покрывало 200×220,Текстиль,Сатин,279000
TEXT-0003,Полотенце банное 70×140,Текстиль,Сатин,89000
TEXT-0004,Штора блэкаут 200×260,Текстиль,Ладный дом,218990
POSU-0001,Сковорода 26 см с антипригарным покрытием,Посуда,Кухмастер,198990
POSU-0002,Набор кастрюль 3 предмета,Посуда,Кухмастер,458999
POSU-0003,Чайник заварочный стеклянный 1 л,Посуда,Кухмастер,118990
POSU-0004,Набор столовых приборов 24 предмета,Посуда,Ладья,289000
TECH-0001,Электрочайник 1.7 л,Бытовая техника,Электрон,188990
TECH-0002,Блендер погружной 800 Вт,Бытовая техника,Электрон,279000
TECH-0003,Отпариватель ручной,Бытовая техника,Электрон,349000
TECH-0004,Робот-пылесос,Бытовая техника,Электрон,1899000
KIDS-0001,Стульчик для кормления,Детские товары,Малышок,649000
KIDS-0002,Ночник-проектор «Звёзды»,Детские товары,Малышок,128990
KIDS-0003,Набор детской посуды 5 предметов,Детские товары,Малышок,88999
WEAR-0001,Тапочки домашние войлочные,Одежда и обувь,Ходики,98990
WEAR-0002,Халат махровый,Одежда и обувь,Сатин,249000
WEAR-0003,Носки хлопковые 5 пар,Одежда и обувь,Ходики,59000
HOME-0005,Корзина для белья 45 л,Товары для дома,Домовит,119000
HOME-0006,Контейнер для хранения 18 л,Товары для дома,Домовит,69000
HOME-0007,Чехол для одежды 60×100,Товары для дома,Ладный дом,38990
HOME-0008,Коврик придверный резиновый 40×60,Товары для дома,Домовит,59000
HOME-0009,Гладильная доска настольная 73×30,Товары для дома,Ладный дом,149000
HOME-0010,Ведро хозяйственное с крышкой 12 л,Товары для дома,Домовит,48990
HOME-0011,Швабра с отжимом и ведром 8 л,Товары для дома,Домовит,178990
HOME-0012,Щётка для пола с черенком 120 см,Товары для дома,Домовит,45000
HOME-0013,Совок со щёткой на длинной ручке,Товары для дома,Домовит,79000
HOME-0014,Таз хозяйственный круглый 14 л,Товары для дома,Домовит,38990
HOME-0015,Этажерка для ванной 3 яруса,Товары для дома,Ладный дом,139000
HOME-0016,Полка настенная металлическая 45 см,Товары для дома,Ладный дом,99000
HOME-0017,Зеркало настенное круглое 50 см,Товары для дома,Ладный дом,168990
HOME-0018,Набор коробок для обуви 6 штук,Товары для дома,Домовит,129000
